Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Shaula,17.33.36,-37.0613,1.63,32.0,195.5,-8.5516,-30.8362,"Shaula, λ-Sco, Lambda Scorpii, 35-Sco, 35 Scorpii, HR 6527, HD 158926, HIP 85927, TYC 7388-1093-1",https://in-the-sky.org/data/object.php?id=TYC7388-1093-1
Sheliak,18.50.04,33.2145,3.63,4.2,151.0,2.0362,-3.6734,"Sheliak, β-Lyr, Beta Lyrae, 10-Lyr, 10 Lyrae, HR 7106, HD 174638, HIP 92420, TYC 2642-2929-1, Gaia EDR3- 2090687795056051328",https://in-the-sky.org/data/object.php?id=TYC2642-2929-1
Sheratan,01.54.38,20.4829,2.66,148.1,138.2,98.7135,-110.405,"Sheratan, β-Ari, Beta Arietis, 6-Ari, 6 Arietis, HR 553, HD 11636, NSV 658, HIP 8903, TYC 1212-1935-1",https://in-the-sky.org/data/object.php?id=TYC1212-1935-1
Shimu,00.47.20326,24.160184,3.92,129.0697,231.5407,-101.068,-80.276,"Shimu, ζ And, Zeta Andromedae, Zet And, 34 Andromedae, 34 And, BD+23 106, FK5 27, GC 940, HD 4502, HIP 3693, HR 215, SAO 74267, PPM 90149, CCDM J00473+2416A, WDS 00473+2416A",https://en.wikipedia.org/wiki/Zeta_Andromedae
Sika,19.22.52985,-32.550859,7.84,424.4277,258.0286,88.036,-415.197,"Sika, CD–33°14164, HD 181720, HIP 95262, SAO 211218, PPM 298918, LTT 7666, NLTT 47718, GCRV 69331, 2MASS J19225298-3255079",https://en.wikipedia.org/wiki/HD_181720
Sirius,06.45.09,-16.4247,-1.44,1340.0,204.1,-547.1628,-1223.1978,"Sirius, α-CMa, Alpha Canis Majoris, 9-CMa, 9 Canis Majoris, HR 2491, HD 48915, HIP 32349",https://in-the-sky.org/data/object.php?id=HIP32349
Situla,22.37.45381,-4.1341,5.03,138.3093,210.1227,-69.411,-119.631,"Situla, 63 Aquarii, BD−04 5716, FK5 1595, GC 31581, HD 214376, HIP 111710, HR 8610, SAO 146210, PPM 206585, WDS J22378-0414A",https://en.wikipedia.org/wiki/Kappa_Aquarii
Skat,22.54.39,-15.4914,3.27,50.9,236.8,-42.5913,-27.871,"Skat, δ-Aqr, Delta Aquarii, 76-Aqr, 76 Aquarii, HR 8709, HD 216627, NSV 14356, HIP 113136, TYC 6387-1382-1",https://in-the-sky.org/data/object.php?id=TYC6387-1382-1
Solaris,21.13.3599016,14.41217858,9.78,233.9093,180.0882,233.909,-0.36,"Solaris, AG+14 2370, BD+14 4559, HIP 104780, PPM 139779, LTT 16221",https://en.wikipedia.org/wiki/BD%2B14_4559
Solitaire,14.50.1730146,-27.57373385,4.42,240.3364,255.5141,-232.696,-60.118,"Solitaire, E Hya, 58 Hya, CD−27°10073, HD 130694, HIP 72571, HR 5526, SAO 182911, LTT 5887",https://en.wikipedia.org/wiki/58_Hydrae
Spica,13.25.11,-11.094,1.06,52.3,234.1,-42.3652,-30.6673,"Spica, α-Vir, Alpha Virginis, 67-Vir, 67 Virginis, HR 5056, HD 116658, HIP 65474, TYC 5547-1518-1",https://in-the-sky.org/data/object.php?id=TYC5547-1518-1
Stellio,22.31.17,50.1657,3.78,138.4,82.7,137.2782,17.5857,"α-Lac, Alpha Lacertae, 7-Lac, 7 Lacertae, HR 8585, HD 213558, HIP 111169, TYC 3628-3193-1, Gaia EDR3- 1988193348344678656",https://in-the-sky.org/data/object.php?id=TYC3628-3193-1
Sterrennacht,23.39.058103,42.2757505,10.47,20.4229,8.4356,-20.202,2.996,"Sterrennacht, BD+41 4831, TOI-1373, TIC 176899385, TYC 3239-992-1, GSC 03239-00992, 2MASS J23390581+4227575, HAT-P-6",https://en.wikipedia.org/wiki/HAT-P-6
Stribor,08.53.5080524,33.03245206,8.03,99.2891,253.3173,-95.11,-28.503,"Stribor, BD+33°1776, HD 75898, HIP 43674, SAO 61116",https://en.wikipedia.org/wiki/HD_75898
Sualocin,20.39.38,15.5443,3.78,54.5,81.1,53.8438,8.4317,"Sualocin, α-Del, Alpha Delphini, 9-Del, 9 Delphini, HR 7906, HD 196867, NSV 13207, HIP 101958, TYC 1633-2442-1",https://in-the-sky.org/data/object.php?id=TYC1633-2442-1
Subra,09.41.08,9.5331,3.51,147.4,255.3,-142.5753,-37.4039,"Subra, O-Leo, Omicron Leonis, 14-Leo, 14 Leonis, HR 3852, HD 83808, HIP 47508, TYC 821-2130-1, Gaia EDR3- 588551501854159744",https://in-the-sky.org/data/object.php?id=TYC821-2130-1
Suhail,09.07.59,-43.2557,2.2,27.6,299.4,-24.0455,13.5489,"Suhail, λ-Vel, Lambda Velorum, HR 3634, HD 78647, HIP 44816, TYC 7689-2617-1",https://in-the-sky.org/data/object.php?id=TYC7689-2617-1
Sulafat,18.58.56,32.4122,3.22,3.4,299.5,-2.9592,1.6742,"Sulafat, γ-Lyr, Gamma Lyrae, 14-Lyr, 14 Lyrae, HR 7178, HD 176437, NSV 11624, HIP 93194, TYC 2643-3346-1, Gaia EDR3- 2043823929421342848",https://in-the-sky.org/data/object.php?id=TYC2643-3346-1
Syrma,14.16.00868,-6.000197,4.08,415.7183,183.6694,-26.606,-414.866,"Syrma, 99 Vir, BD−05°3843, FK5 525, GJ 9473, HD 124850, HIP 69701, HR 5338, SAO 139824",https://en.wikipedia.org/wiki/Iota_Virginis
Sāmaya,21.38.0840401,-31.44149385,8.56,85.1603,255.1449,21.833,-82.314,"Samaya, CD−32° 16667, HD 205739, HIP 106824, SAO 213152, PPM 301636",https://en.wikipedia.org/wiki/HD_205739
Tabit,04.49.50,6.574,3.18,464.1,88.5,463.941,12.1487,"π³-Ori, Pi3 Orionis, 1-Ori, 1 Orionis, HR 1543, HD 30652, NSV 1731, HIP 22449, TYC 96-1462-1, Gaia EDR3- 3288921720025503360",https://in-the-sky.org/data/object.php?id=TYC96-1462-1
Taika,22.22.030875821831,45.2726515961773,3.0,10.4683,211.1177,8.962,-5.41,"Taika, 2MASS, J22220308+4527265, Gaia DR2 196215385497 720 96, GSC 03607-01028, TYC 3607-1028-1",https://ja.wikipedia.org/wiki/HAT-P-40
Taiyangshou,11.46.02,47.4646,3.69,141.2,281.7,-138.2663,28.6336,"χ-UMa, Chi Ursae Majoris, 63-UMa, 63 Ursae Majoris, HR 4518, HD 102224, NSV 5319, HIP 57399, TYC 3452-2140-1, Gaia EDR3- 786420645182229504",https://in-the-sky.org/data/object.php?id=TYC3452-2140-1
Taiyi,12.55.28550015,65.26185079,5.225,30.4697,187.9894,-4.235,-30.174,"Taiyi, 8 Dra, IR Draconis, BD+66°778, FK5 486, HD 112429, HIP 63076, HR 4916, SAO 15941",https://en.wikipedia.org/wiki/8_Draconis
Talitha,08.59.11,48.0227,3.14,489.2,244.0,-439.69,-214.4512,"Talitha, ι-UMa, Iota Ursae Majoris, 9-UMa, 9 Ursae Majoris, HR 3569, HD 76644, NSV 4329, HIP 44127, TYC 3420-2149-1, Gaia EDR3- 1014058103758571520",https://in-the-sky.org/data/object.php?id=TYC3420-2149-1
Tangra,23.09.5825,18.23459,11.58,25.6127,43.3041,17.567,18.639,"Tangra, TOI-5963, TIC 436478932, WASP-21, GSC 01715-00679, 2MASS J23095825+1823459",https://en.wikipedia.org/wiki/WASP-21
Tania Australis,10.22.19,41.2958,3.04,88.8,293.5,-81.4349,35.4089,"Tania Australis, μ-UMa, Mu Ursae Majoris, 34-UMa, 34 Ursae Majoris, HR 4069, HD 89758, NSV 4829, HIP 50801, TYC 3004-1418-1",https://in-the-sky.org/data/object.php?id=TYC3004-1418-1
Tania Borealis,10.17.05,42.5452,3.44,186.4,255.7,-180.6245,-46.0406,"Tania Borealis, λ-UMa, Lambda Ursae Majoris, 33-UMa, 33 Ursae Majoris, HR 4033, HD 89021, HIP 50372, TYC 3007-1286-1",https://in-the-sky.org/data/object.php?id=TYC3007-1286-1
Tapecue,07.47.49720,-54.155092,8.1,315.9011,241.934,148.628,-278.753,"Tapecue, CD−53°2007, HD 63765, HIP 38041, SAO 235521, PPM 336398, LTT 2952, NLTT 18486",https://en.wikipedia.org/wiki/HD_63765
Tarazed,19.46.15,10.3647,2.69,16.3,94.8,16.2428,-1.3639,"Tarazed, γ-Aql, Gamma Aquilae, 50-Aql, 50 Aquilae, HR 7525, HD 186791, HIP 97278, TYC 1061-2577-1, Gaia EDR3- 4302054339959905920",https://in-the-sky.org/data/object.php?id=TYC1061-2577-1
Tarf,08.16.30,9.1107,3.52,67.4,222.7,-45.708,-49.5332,"β-Cnc, Beta Cancri, 17-Cnc, 17 Cancri, HR 3249, HD 69267, NSV 3973, HIP 40526, TYC 794-1622-1, Gaia EDR3- 3098404220680931968",https://in-the-sky.org/data/object.php?id=TYC794-1622-1
Taygeta,03.45.1249578,24.28022097,4.3,45.7848,242.3604,21.24,-40.56,"q Tauri, 19 Tauri, HR 1145, HD 23338, BD+24°547, HIP 17531, SAO 76140, GC 4486, BDS 1848, CCDM 03452+2429",https://en.wikipedia.org/wiki/Taygeta
Tegmine,08.12.127,17.3852,5.58,189.824,231.4395,118.325,-148.433,"Tegmen, Tegmine, 16 Cancri, HR 3208/3209/3210, HD 68257/68255/68256, BD+18°1867, HIP 40167, SAO 97645/97646, GC 11142/11141, ADS 6650, CCDM J08123+1738, WDS 08122+1739",https://simbad.u-strasbg.fr/simbad/sim-id?Ident=HR++3208
Tejat,06.22.57,22.3049,2.9,123.6,152.9,56.3054,-110.0303,"μ-Gem, Mu Geminorum, 13-Gem, 13 Geminorum, HR 2286, HD 44478, HIP 30343, TYC 1878-1429-1",https://in-the-sky.org/data/object.php?id=TYC1878-1429-1
Tengshe,22.56.2599839,49.44007587,4.94,2.8431,193.1955,-0.649,-2.768,"Tengshe, V424 Lac, BD+48°3887, HR 8726, HD 216946, BD+48°3887, HIP 113288, SAO 52516",https://en.wikipedia.org/wiki/V424_Lacertae
Terebellum,19.55.5036255,-26.17576933,4.7,217.1061,69.9592,203.96,74.4,"Terebellum, ψ Sgr, 58 Sagittarii, CPD−26°6880, FK5 1629, GC 27583, GJ 770.1, GJ 9673, HD 188376, HIP 98066, HR 7597, SAO 188722, PPM 270451",https://en.wikipedia.org/wiki/Omega_Sagittarii
Tevel,07.20.404565,37.0826343,12.34,16.3008,216.9381,-9.796,-13.029,"Tevel, TOI-1731, TIC 371234684, TYC 2463-281-1, GSC 02463-00281, 2MASS J07204044+3708263, HAT-P-9",https://en.wikipedia.org/wiki/HAT-P-9
Theemin,04.35.32,-30.3344,3.81,51.0,255.8,-49.4417,-12.5107,"υ²-Eri, Upsilon2 Eridani, 52-Eri, 52 Eridani, HR 1464, HD 29291, HIP 21393, TYC 7038-1509-1, Gaia EDR3- 4878631812268014464",https://in-the-sky.org/data/object.php?id=TYC7038-1509-1
Thuban,14.04.23,64.2232,3.65,58.9,287.0,-56.3264,17.2207,"Thuban, α-Dra, Alpha Draconis, 11-Dra, 11 Draconis, HR 5291, HD 123299, NSV 6546, HIP 68756, TYC 4174-1262-1",https://in-the-sky.org/data/object.php?id=TYC4174-1262-1
Tiaki,22.42.40,-46.5304,2.12,135.2,91.9,135.1257,-4.4826,"β-Gru, Beta Gruis, HR 8636, HD 214952, HIP 112122, TYC 8446-1644-1",https://in-the-sky.org/data/object.php?id=TYC8446-1644-1
Tianfu,20.04.08315,7.164067,5.6799,18.6238,49.6867,14.201,12.049,"Tianfu, τ Aquilae, τ Aql, 63 Aquilae, BD+06 4416, FK5 1524, GC 27824, HD 190327, HIP 98823, HR 7669, SAO 125403, PPM 169262",https://en.wikipedia.org/wiki/Tau_Aquilae
Tianguan,05.37.38,21.0832,3.0,20.1,174.9,1.7868,-20.0204,"ζ-Tau, Zeta Tauri, 123-Tau, 123 Tauri, HR 1910, HD 37202, HIP 26451, TYC 1310-2697-1, Gaia EDR3- 3402918982515591168",https://in-the-sky.org/data/object.php?id=TYC1310-2697-1
Tianyi,12.47.3434473,66.47250977,5.43,9.3148,224.2345,6.674,-6.498,"Tianyi, 7 Dra, BD+67°764, FK5 3020, HD 111335, HIP 62423, HR 4863, SAO 15902",https://en.wikipedia.org/wiki/7_Draconis
Timir,16.28.28151,-13.235869,6.903,37.537,4.6591,-37.413,3.049,"BD−13°4437, HIP 80687, PPM 231736, SAO 159932",https://en.wikipedia.org/wiki/HD_148427
Tislit,08.25.210836438210,-11.3004551014587,3.829,5.4199,263.7824,-5.388,-0.587,"Tislit, TYC 5435-1109-1, Wasp 161, BD -11 2350",https://www.universeguide.com/star/123553/wasp161
Titawin,01.36.5040476,41.23321228,4.1,420.7795,204.1925,-172.437,-383.824,"Titawin, 50 Andromedae, BD+40 332, CCDM 01367+4125, FK5 1045, GC 1948, GCTP 331.00, Gl 61, HD 9826, HIP 7513, HR 458, LTT 10561, SAO 37362, PPM 44216, WDS 01368+4124A, 2MASS J01364784+4124200, Gaia DR2 348020448377061376",https://en.wikipedia.org/wiki/Upsilon_Andromedae
Tojil,03.31.163267124400,-23.4910840600632,11.99,26.655,265.671,2.012,-26.579,"Tojil, WASP-22",https://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-22
Toliman,14.39.39,-60.5022,1.35,3700.0,282.5,-3612.2952,800.8266,"α-Cen, Alpha Centauri, HR 5460, HD 128621, HIP 71681",https://in-the-sky.org/data/object.php?id=HIP71681
Tonatiuh,12.05.151172,76.5420643,5.78,173.8172,212.1381,147.183,-92.464,"Tonatiuh, BD+77°461, FK5 451, GC 16514, HD 104985, HIP 58952, HR 4609, SAO 7500, NLTT 29548",https://en.wikipedia.org/wiki/HD_104985
Torcular,01.45.2363185,9.0927853,4.27,82.8889,61.6974,72.98,39.3,"Torcular, Torcularis Septentrionalis, ο Psc, 110 Piscium, BD+08°273, FK5 60, GC 2139, HD 10761, HIP 8198, HR 510, SAO 110110, PPM 144950",https://en.wikipedia.org/wiki/Omicron_Piscium
Tuiren,12.33.039061,44.5455196,12.26,14.188,35.0006,-11.622,8.138,"Tuiren, Gaia DR3 1541532207133249920, TYC 3020-2221-1, 2MASS J12330390+4454552",https://en.wikipedia.org/wiki/HAT-P-36
Tupi,03.39.4309600,-52.54570174,7.12,213.6688,244.4898,-192.838,-92.021,"Tupi, CD–53°738, GC 4401, HD 23079, HIP 17096, SAO 233208, LTT 1739",https://en.wikipedia.org/wiki/HD_23079
Tupã,12.25.462674,-64.0119516,6.994,192.4851,251.6203,-182.666,-60.693,"Tupã, CD−63°757, CPD−63°2270, GC 16944, HIP 60644, LTT 4696, SAO 251899",https://en.wikipedia.org/wiki/HD_108147
Tureis,08.07.32,-24.1814,2.83,95.2,299.5,-82.8579,46.8787,"Tureis, ρ-Pup, Rho Puppis, 15-Pup, 15 Puppis, HR 3185, HD 67523, HIP 39757, TYC 6555-3245-1, Gaia EDR3- 5698015743046182272",https://in-the-sky.org/data/object.php?id=TYC6555-3245-1
Tusizuo,18.23.42,21.4607,3.85,312.4,141.1,196.1757,-243.1232,"109-Her, 109 Herculis, HR 6895, HD 169414, NSV 10742, HIP 90139, TYC 1580-2158-1, Gaia EDR3- 4529285391533766400",https://in-the-sky.org/data/object.php?id=TYC1580-2158-1
Udkadua,23.37.34,46.2722,3.86,451.0,159.3,159.4172,-421.8853,"λ-And, Lambda Andromedae, 16-And, 16 Andromedae, HR 8961, HD 222107, HIP 116584, TYC 3638-2515-1, Gaia EDR3- 1939115478598580352",https://in-the-sky.org/data/object.php?id=TYC3638-2515-1
Ukdah,09.39.51,-1.0835,3.89,77.8,143.5,46.2772,-62.5401,"ι-Hya, Iota Hydrae, 35-Hya, 35 Hydrae, HR 3845, HD 83618, NSV 4568, HIP 47431, TYC 4894-2529-1, Gaia EDR3- 3827873938815011200",https://in-the-sky.org/data/object.php?id=TYC4894-2529-1
Uklun,11.44.5046086,-58.4213358,7.47,94.8056,222.1112,-63.574,-70.331,"Uklun, CD–58°4207, HD 102117, HIP 57291, SAO 239348",https://en.wikipedia.org/wiki/HD_102117
Unukalhai,15.44.16,6.2532,2.63,141.5,71.2,133.9509,45.6006,"Unukalhai, α-Ser, Alpha Serpentis Caput, 24-Ser, 24 Serpentis Caput, HR 5854, HD 140573, HIP 77070, TYC 363-1135-1, Gaia EDR3- 4429785739602747392",https://in-the-sky.org/data/object.php?id=TYC363-1135-1
Uridim,14.41.55,-47.2317,2.29,31.6,221.5,-20.9388,-23.667,"α-Lup, Alpha Lupi, HR 5469, HD 129056, HIP 71860, TYC 8283-4134-1, Gaia EDR3- 5905821894507108864",https://in-the-sky.org/data/object.php?id=TYC8283-4134-1
Uruk,19.32.0416092,16.28274431,8.97,65.3196,76.2659,63.452,15.508,"Uruk, BD+16°3883, HD 231701, HIP 96078, SAO 104946",https://en.wikipedia.org/wiki/HD_231701
Uúba,23.54.4020731,-37.37405244,9.76,257.2702,195.7311,247.634,-69.752,"Uúba, CD−38 15670, CPD−38 8578, HIP 117883, SAO 214854, PPM 304331, LTT 9779, NLTT 58368, TOI-193, TIC 183985250, TYC 8015-1162-1, 2MASS J23544020-3737408, WISEA J235440.43-373741.2",https://en.wikipedia.org/wiki/LTT_9779
Vega,18.36.56,38.4658,0.03,349.7,35.1,201.0793,286.107,"Vega, α-Lyr, Alpha Lyrae, 3-Lyr, 3 Lyrae, HR 7001, HD 172167, HIP 91262",https://in-the-sky.org/data/object.php?id=HIP91262
Veritate,23.31.1741325,39.14103147,5.22,298.9543,196.3273,286.898,-84.043,"Veritate, 14 And, NSV 14599, BD+38°5023, GC 32703, HD 221345, HIP 116076, HR 8930, SAO 73311, PPM 88889, 2MASS J23311742+3914102",https://en.wikipedia.org/wiki/14_Andromedae
Vindemiatrix,13.02.10,10.5733,2.82,274.5,274.1,-273.7975,19.626,"Vindemiatrix, ε-Vir, Epsilon Virginis, 47-Vir, 47 Virginis, HR 4932, HD 113226, NSV 6064, HIP 63608, TYC 886-1326-1, Gaia EDR3- 3736865265441207424",https://in-the-sky.org/data/object.php?id=TYC886-1326-1
Wasat,07.20.07,21.5856,3.54,18.0,237.1,-15.1132,-9.7771,"Wasat, δ-Gem, Delta Geminorum, 55-Gem, 55 Geminorum, HR 2777, HD 56986, HIP 35550, TYC 1359-2672-1",https://in-the-sky.org/data/object.php?id=TYC1359-2672-1
Wattle,09.53.4007656,-45.39330572,12.312,39.4866,26.1102,-35.457,17.378,"Wattle, TOI-655, TIC 35516889, WASP-19, GSC 08181-01711, 2MASS J09534008-4539330, USNO-B1.0 0443-00193111",https://en.wikipedia.org/wiki/WASP-19
Wazn,05.50.57,-35.4559,3.11,408.2,7.7,54.6932,404.5193,"Wazn, β-Col, Beta Columbae, HR 2040, HD 39425, HIP 27628, TYC 7069-1482-1, Gaia EDR3- 2887731882922767744",https://in-the-sky.org/data/object.php?id=TYC7069-1482-1
Wezen,07.08.23,-26.2335,1.84,4.5,316.7,-3.0862,3.275,"Wezen, δ-CMa, Delta Canis Majoris, 25-CMa, 25 Canis Majoris, HR 2693, HD 54605, NSV 3424, HIP 34444, TYC 6532-5001-1",https://in-the-sky.org/data/object.php?id=TYC6532-5001-1
Wouri,21.00.0619682,-5.05400349,9.87,99.4905,250.153,33.778,-93.581,"Wouri, BD−05 5432, TOI-5823, TIC 248853232, WASP-69, TYC 5200-1560-1, GSC 05200-01560, 2MASS J21000618-0505398",https://en.wikipedia.org/wiki/WASP-69
Wurren,01.08.2308,-55.14447,3.9,37.0724,34.2602,20.87,30.64,"Wurren, HR 338, CD−55°267, CPD−55°241, HD 6882, SAO 232306, HIP 5348.",https://en.wikipedia.org/wiki/Zeta_Phoenicis
Xami,14.42.30,-64.583,3.16,302.6,219.5,-192.4773,-233.4936,"α-Cir, Alpha Circini, HR 5463, HD 128898, HIP 71908, TYC 9015-1445-1",https://in-the-sky.org/data/object.php?id=TYC9015-1445-1
Xamidimura,16.51.52,-38.025,3.0,24.5,205.6,-10.5861,-22.0949,"μ¹-Sco, Mu1 Scorpii, HR 6247, HD 151890, HIP 82514, TYC 7868-1821-1",https://in-the-sky.org/data/object.php?id=TYC7868-1821-1
Xihe,18.43.36109,36.332378,6.04,61.8526,19.7943,20.946,58.198,"Xihe, AG+36 1680, BD+36 3246, GC 25640, HD 173416, HIP 91852, HR 7043, SAO 67292, PPM 81707, TYC 2649-1153-1, GCRV 11177, GSC 02649-01153, IRAS 18418+3630, 2MASS J18433610+3633237",https://en.wikipedia.org/wiki/HD_173416
Xuange,14.16.23018,46.05179,4.18,246.1908,40.323,-187.698,159.309,"Xuange, λ Boo, 19 Boötis, BD+46°1949, FK5 527, GC 19273, GJ 3837, HD 125162, HIP 69732, HR 5351, SAO 44965",https://en.wikipedia.org/wiki/Lambda_Bo%C3%B6tis
Yed Posterior,16.18.19,-4.4132,3.24,93.3,64.1,83.9287,40.7536,"Yed Posterior, ε-Oph, Epsilon Ophiuchi, 2-Oph, 2 Ophiuchi, HR 6075, HD 146791, HIP 79882, TYC 5042-999-1, Gaia EDR3- 4356298849169862784",https://in-the-sky.org/data/object.php?id=TYC5042-999-1
Yed Prior,16.14.20,-3.4141,2.73,151.4,197.4,-45.2748,-144.472,"Yed Prior, δ-Oph, Delta Ophiuchi, 1-Oph, 1 Ophiuchi, HR 6056, HD 146051, NSV 7556, HIP 79593, TYC 5037-1068-1, Gaia EDR3- 4357027756659697664",https://in-the-sky.org/data/object.php?id=TYC5037-1068-1
Yildun,17.32.1299671,86.35112584,4.36,54.9198,10.6716,10.17,53.97,"Yildun, Vildiur, Gildun, δ UMi, 23 Ursae Minoris, BD+86°269, FK5 913, GC 24236, HD 166205, HIP 85822, HR 6789, SAO 2937",https://en.wikipedia.org/wiki/Delta_Ursae_Minoris
Yunü,10.07.542701,9.5951025,4.39,104.5571,231.6709,-82.021,-64.844,"Yunü, 31 Leo, BD+10°2112, HD 87837, HIP 49637, HR 3980, SAO 98964",https://en.wikipedia.org/wiki/31_Leonis
Zaniah,12.19.54,-0.4,3.87,62.8,246.4,-57.5476,-25.1419,"Zaniah, η-Vir, Eta Virginis, 15-Vir, 15 Virginis, HR 4689, HD 107259, NSV 5555, HIP 60129, TYC 4940-1158-1",https://in-the-sky.org/data/object.php?id=TYC4940-1158-1
Zaurak,03.58.01,-13.303,2.96,128.8,151.4,61.6555,-113.0842,"Zaurak, γ-Eri, Gamma Eridani, 34-Eri, 34 Eridani, HR 1231, HD 25025, HIP 18543, TYC 5311-1285-1",https://in-the-sky.org/data/object.php?id=TYC5311-1285-1
Zavijava,11.50.42,1.4548,3.59,788.7,110.1,740.6636,-271.0444,"Zavijava, β-Vir, Beta Virginis, 5-Vir, 5 Virginis, HR 4540, HD 102870, HIP 57757, TYC 273-924-1, Gaia EDR3- 3796442680948579328",https://in-the-sky.org/data/object.php?id=TYC273-924-1
Zembra,22.36.063189546696,-16.5959788096584,12.469,137.5511,232.1309,-108.585,-84.437,"Zembra, HATS-72",https://simbad.cds.unistra.fr/simbad/sim-id?Ident=%408855298&Name=HATS-72&submit=submit
Zhang,09.51.2869384,-14.5047771,4.12,28.8769,229.1706,18.88,-21.85,"Zhang, upsilon1 Hya, 39 Hydrae, BD−14°2963, HD 85444, HIP 48356, HR 3903, SAO 155542",https://en.wikipedia.org/wiki/Upsilon1_Hydrae
Zhou,15.46.11,15.2517,3.64,81.5,125.9,66.0184,-47.7893,"β-Ser, Beta Serpentis Caput, 28-Ser, 28 Serpentis Caput, HR 5867, HD 141003, HIP 77233, TYC 1495-1994-1, Gaia EDR3- 1195823284391343104",https://in-the-sky.org/data/object.php?id=TYC1495-1994-1
Zibal,03.15.5002656,-8.4911022,4.8,46.1013,89.565,-0.35,46.1,"Zibal, ζ Eri, 13 Eri, FK5 1091, HD 20320, HIP 15197, HR 984, SAO 130387, BD−09°624, WDS J03158-0849A",https://en.wikipedia.org/wiki/Zeta_Eridani
Zosma,11.14.06,20.3126,2.56,193.5,132.2,143.3457,-129.9779,"Zosma, δ-Leo, Delta Leonis, 68-Leo, 68 Leonis, HR 4357, HD 97603, NSV 5143, HIP 54872, TYC 1439-2479-1",https://in-the-sky.org/data/object.php?id=TYC1439-2479-1
Zubenelgenubi,14.50.52,-16.023,2.73,125.9,237.1,-105.7081,-68.3857,"Zubenelgenubi, α²-Lib, Alpha2 Librae, 9-Lib, 9 Librae, HR 5531, HD 130841, NSV 6827, HIP 72622, TYC 6155-1210-1",https://in-the-sky.org/data/object.php?id=TYC6155-1210-1
Zubenelhakrabi,15.35.31,-14.4722,3.92,65.1,83.1,64.6285,7.8209,"γ-Lib, Gamma Librae, 38-Lib, 38 Librae, HR 5787, HD 138905, HIP 76333, TYC 5608-1381-1, Gaia EDR3- 6265374394490973184",https://in-the-sky.org/data/object.php?id=TYC5608-1381-1
Zubeneschamali,15.17.00,-9.2258,2.61,100.0,258.7,-98.0615,-19.5946,"Zubeneschamali, β-Lib, Beta Librae, 27-Lib, 27 Librae, HR 5685, HD 135742, NSV 7009, HIP 74785, TYC 5585-1014-1",https://in-the-sky.org/data/object.php?id=TYC5585-1014-1
